FollowersCount,FriendsCount,ScreenName,Ratio,Points
1556,1864,wednesdaygogo5,0.8347639484978541,1298.892703862661
1188,1090,Shun_Sugimoto_,1.089908256880734,1294.811009174312
460,164,blueoO12,2.8048780487804876,1290.2439024390244
2046,3259,J_S_Bachko,0.6277999386314821,1284.4786744400124
683,364,maureen525600,1.8763736263736264,1281.5631868131868
2213,3823,kyabetu1119,0.5788647658906618,1281.0277269160345
2403,4545,jpsmk3,0.5287128712871287,1270.4970297029704
1120,988,ohara_sanzenen,1.1336032388663968,1269.6356275303644
1355,1447,dara2_overwatch,0.9364201796821009,1268.8493434692466
2483,4864,haRukAno1974,0.510485197368421,1267.5347450657894
1331,1402,vava0307,0.949358059914408,1263.595577746077
1661,2186,tamanegi3go,0.7598353156450137,1262.0864592863677
1031,843,Acleirt,1.2230130486358244,1260.926453143535
729,424,wildmon777,1.7193396226415094,1253.3985849056603
2258,4079,m_s_ako,0.5535670507477323,1249.9544005883795
939,711,hibiking_syumi,1.3206751054852321,1240.113924050633
1256,1279,saladstead,0.982017200938233,1233.4136043784206
614,307,Next_gamer,2.0,1228.0
512,214,akikun44,2.392523364485981,1224.9719626168223
946,734,pepemaru_0,1.2888283378746594,1219.2316076294278
1622,2180,barusan0313,0.7440366972477064,1206.8275229357798
1701,2417,kuma_0437,0.7037649979313199,1197.104261481175
1499,1881,kani_senbei,0.796916533758639,1194.5778841042
1710,2468,sqeu,0.692868719611021,1184.805510534846
1036,906,yukkura3,1.1434878587196469,1184.653421633554
1111,1045,need4speedmw1,1.063157894736842,1181.1684210526316
1288,1405,Mobako_AI,0.9167259786476868,1180.7430604982205
581,286,Qualia_write,2.0314685314685317,1180.2832167832169
2322,4569,B0bisOre,0.5082074852265266,1180.0577806959948
1187,1197,YaMobike,0.9916457811194653,1177.0835421888053
2415,4993,komyushouneko,0.48367714800721007,1168.0803124374124
761,499,obechiyeah,1.5250501002004009,1160.563126252505
1926,3208,B17496582,0.6003740648379052,1156.3204488778056
1770,2720,mahoyoyuto,0.6507352941176471,1151.8014705882354
1226,1308,managon,0.9373088685015291,1149.1406727828746
1302,1479,kinakomochi4645,0.8803245436105477,1146.1825557809332
